"Type","Op","Size","Time"
np,mean,131072,0.000237354
np,sum,131072,0.000175186
np,std,131072,0.001105142
np,slice,131072,0.000009454
np,iterate,131072,0.010803162
np,reshape,131072,0.000009097
np,creation,262144,0.014107886
np,add,262144,0.001833321
np,sub,262144,0.000774312
np,mul,262144,0.000645462
np,div,262144,0.001059269
np,max,262144,0.000424791
np,mean,262144,0.000418014
np,sum,262144,0.000343395
np,std,262144,0.002073069
np,slice,262144,0.000011994
np,iterate,262144,0.021691250
np,reshape,262144,0.000010159
np,creation,524288,0.027878370
np,add,524288,0.003296892
np,sub,524288,0.002354873
np,mul,524288,0.002155470
np,div,524288,0.002355142
np,max,524288,0.000851131
np,mean,524288,0.000871364
np,sum,524288,0.000705647
np,std,524288,0.004500205
np,slice,524288,0.000013360
np,iterate,524288,0.043354465
np,reshape,524288,0.000012871
np,creation,1048576,0.054756376
np,add,1048576,0.006075242
np,sub,1048576,0.004612647
np,mul,1048576,0.004325518
np,div,1048576,0.004663310
np,max,1048576,0.001455791
np,mean,1048576,0.001895494
np,sum,1048576,0.001758793
np,std,1048576,0.010243013
np,slice,1048576,0.000013749
np,iterate,1048576,0.083725349
np,reshape,1048576,0.000017080
np,creation,2097152,0.122135895
np,add,2097152,0.011503463
np,sub,2097152,0.009694037
np,mul,2097152,0.009140744
np,div,2097152,0.009553316
np,max,2097152,0.002721900
np,mean,2097152,0.003605755
np,sum,2097152,0.003557976
np,std,2097152,0.020720093
np,slice,2097152,0.000028787
np,iterate,2097152,0.173067804
np,reshape,2097152,0.000017985
np,creation,4194304,0.219138925
np,add,4194304,0.017647018
np,sub,4194304,0.017809858
np,mul,4194304,0.017648608
np,div,4194304,0.024187669
np,max,4194304,0.005326587
np,mean,4194304,0.007475885
np,sum,4194304,0.007398322
np,std,4194304,0.040358154
np,slice,4194304,0.000014710
np,iterate,4194304,0.334562844
np,reshape,4194304,0.000019139
np,creation,8388608,0.435487452
np,add,8388608,0.034800491
np,sub,8388608,0.035278248
np,mul,8388608,0.034677662
np,div,8388608,0.047854506
np,max,8388608,0.010469098
np,mean,8388608,0.014759363
np,sum,8388608,0.014650587
np,std,8388608,0.080263335
np,slice,8388608,0.000014449
np,iterate,8388608,0.668898670
np,reshape,8388608,0.000018654
np,creation,16777216,0.919592630
np,add,16777216,0.068420514
np,sub,16777216,0.069003944
np,mul,16777216,0.068397283
np,div,16777216,0.094973097
np,max,16777216,0.020748897
np,mean,16777216,0.029299756
np,sum,16777216,0.029199980
np,std,16777216,0.159726437
np,slice,16777216,0.000014852
np,iterate,16777216,1.337715553
np,reshape,16777216,0.000019550
np,creation,33554432,1.745334648
np,add,33554432,0.136795978
np,sub,33554432,0.136048452
np,mul,33554432,0.134797006
np,div,33554432,0.188109000
np,max,33554432,0.041293946
np,mean,33554432,0.058359937
np,sum,33554432,0.058238206
np,std,33554432,0.315327042
np,slice,33554432,0.000015417
np,iterate,33554432,3.152912394
np,creation,67108864,3.657370355
np,add,67108864,0.268578929
np,sub,67108864,0.271033926
np,mul,67108864,0.268677114
np,div,67108864,0.375604801
np,max,67108864,0.082204165
np,mean,67108864,0.116693466
np,sum,67108864,0.116445235
np,std,67108864,0.628570806
np,slice,67108864,0.000027764
np,iterate,67108864,5.434622503
np,creation,134217728,6.959868129
np,add,134217728,0.544028299
np,sub,134217728,0.553240733
np,mul,134217728,0.545335916
np,div,134217728,0.757874798
np,max,134217728,0.164449868
np,mean,134217728,0.232889181
np,sum,134217728,0.232903263
np,std,134217728,1.287184648
np,slice,134217728,0.000017413
np,iterate,134217728,10.941348725
mpi_np,creation,1,0.000296935
mpi_np,add,1,0.000009006
mpi_np,sub,1,0.000009007
mpi_np,mul,1,0.000009040
mpi_np,div,1,0.000009612
mpi_np,max,1,0.000036465
mpi_np,mean,1,0.000073337
mpi_np,sum,1,0.000038605
mpi_np,std,1,0.000143935
mpi_np,slice,1,0.000178788
mpi_np,iterate,1,0.000002572
mpi_np,reshape,1,0.000347114
mpi_np,creation,2,0.000293471
mpi_np,add,2,0.000009131
mpi_np,sub,2,0.000009169
mpi_np,mul,2,0.000009079
mpi_np,div,2,0.000009684
mpi_np,max,2,0.000038818
mpi_np,mean,2,0.000073722
mpi_np,sum,2,0.000038493
mpi_np,std,2,0.000148874
mpi_np,slice,2,0.000178682
mpi_np,iterate,2,0.000002646
mpi_np,reshape,2,0.000354171
mpi_np,creation,4,0.000294918
mpi_np,add,4,0.000009134
mpi_np,sub,4,0.000009102
mpi_np,mul,4,0.000009058
mpi_np,div,4,0.000009638
mpi_np,max,4,0.000038936
mpi_np,mean,4,0.000073813
mpi_np,sum,4,0.000038540
mpi_np,std,4,0.000148584
mpi_np,slice,4,0.000179281
mpi_np,iterate,4,0.000002801
mpi_np,reshape,4,0.000366461
mpi_np,creation,8,0.000295706
mpi_np,add,8,0.000009017
mpi_np,sub,8,0.000009119
mpi_np,mul,8,0.000009061
mpi_np,div,8,0.000009729
mpi_np,max,8,0.000038806
mpi_np,mean,8,0.000072736
mpi_np,sum,8,0.000038068
mpi_np,std,8,0.000147484
mpi_np,slice,8,0.000178950
mpi_np,iterate,8,0.000003166
mpi_np,reshape,8,0.000390558
mpi_np,creation,16,0.000296204
mpi_np,add,16,0.000009131
mpi_np,sub,16,0.000009222
mpi_np,mul,16,0.000009192
mpi_np,div,16,0.000009788
mpi_np,max,16,0.000038925
mpi_np,mean,16,0.000073574
mpi_np,sum,16,0.000038411
mpi_np,std,16,0.000148575
mpi_np,slice,16,0.000179816
mpi_np,iterate,16,0.000003821
mpi_np,reshape,16,0.000433295
mpi_np,creation,32,0.000300241
mpi_np,add,32,0.000009340
mpi_np,sub,32,0.000009316
mpi_np,mul,32,0.000009302
mpi_np,div,32,0.000010069
mpi_np,max,32,0.000041583
mpi_np,mean,32,0.000074883
mpi_np,sum,32,0.000038883
mpi_np,std,32,0.000149547
mpi_np,slice,32,0.000180010
mpi_np,iterate,32,0.000005200
mpi_np,reshape,32,0.000533268
mpi_np,creation,64,0.000354859
mpi_np,add,64,0.000022471
mpi_np,sub,64,0.000017821
mpi_np,mul,64,0.000015519
mpi_np,div,64,0.000016701
mpi_np,max,64,0.000239356
mpi_np,mean,64,0.000125203
mpi_np,sum,64,0.000048755
mpi_np,std,64,0.000171216
mpi_np,slice,64,0.000224688
mpi_np,iterate,64,0.000018574
mpi_np,reshape,64,0.000778911
mpi_np,creation,128,0.000369540
mpi_np,add,128,0.000023801
mpi_np,sub,128,0.000018408
mpi_np,mul,128,0.000016258
mpi_np,div,128,0.000017430
mpi_np,max,128,0.000231689
mpi_np,mean,128,0.000123122
mpi_np,sum,128,0.000048203
mpi_np,std,128,0.000173984
mpi_np,slice,128,0.000224732
mpi_np,iterate,128,0.000023583
mpi_np,reshape,128,0.001175665
mpi_np,creation,256,0.000389122
mpi_np,add,256,0.000023888
mpi_np,sub,256,0.000017973
mpi_np,mul,256,0.000016400
mpi_np,div,256,0.000018066
mpi_np,max,256,0.000230317
mpi_np,mean,256,0.000123812
