"Type","Op","Size","Time"
mpi_np,local_slicing,4096,0.000000948
mpi_np,local_setting,4096,0.000000603
mpi_np,global_setting,4096,0.000009213
mpi_np,local_getting,4096,0.000000575
mpi_np,global_getting,4096,0.000188778
mpi_np,empty,8192,0.000080796
mpi_np,arange,8192,0.000188377
mpi_np,local_slicing,8192,0.000000987
mpi_np,local_setting,8192,0.000000624
mpi_np,global_setting,8192,0.000009369
mpi_np,local_getting,8192,0.000000602
mpi_np,global_getting,8192,0.000187202
mpi_np,empty,16384,0.000079243
mpi_np,arange,16384,0.000231346
mpi_np,local_slicing,16384,0.000001023
mpi_np,local_setting,16384,0.000000616
mpi_np,global_setting,16384,0.000009396
mpi_np,local_getting,16384,0.000000596
mpi_np,global_getting,16384,0.000188013
mpi_np,empty,32768,0.000079683
mpi_np,arange,32768,0.000323804
mpi_np,local_slicing,32768,0.000000973
mpi_np,local_setting,32768,0.000000620
mpi_np,global_setting,32768,0.000009328
mpi_np,local_getting,32768,0.000000607
mpi_np,global_getting,32768,0.000187480
mpi_np,empty,65536,0.000079835
mpi_np,arange,65536,0.000505604
mpi_np,local_slicing,65536,0.000000965
mpi_np,local_setting,65536,0.000000612
mpi_np,global_setting,65536,0.000009308
mpi_np,local_getting,65536,0.000000594
mpi_np,global_getting,65536,0.000187633
mpi_np,empty,131072,0.000081192
mpi_np,arange,131072,0.000834111
mpi_np,local_slicing,131072,0.000000973
mpi_np,local_setting,131072,0.000000626
mpi_np,global_setting,131072,0.000009117
mpi_np,local_getting,131072,0.000000608
mpi_np,global_getting,131072,0.000188199
mpi_np,empty,262144,0.000086669
mpi_np,arange,262144,0.001487672
mpi_np,local_slicing,262144,0.000000948
mpi_np,local_setting,262144,0.000000624
mpi_np,global_setting,262144,0.000009184
mpi_np,local_getting,262144,0.000000594
mpi_np,global_getting,262144,0.000186317
mpi_np,empty,524288,0.000085603
mpi_np,arange,524288,0.002753919
mpi_np,local_slicing,524288,0.000000992
mpi_np,local_setting,524288,0.000000617
mpi_np,global_setting,524288,0.000009286
mpi_np,local_getting,524288,0.000000599
mpi_np,global_getting,524288,0.000187857
mpi_np,empty,1048576,0.000087037
mpi_np,arange,1048576,0.005439467
mpi_np,local_slicing,1048576,0.000000941
mpi_np,local_setting,1048576,0.000000598
mpi_np,global_setting,1048576,0.000009138
mpi_np,local_getting,1048576,0.000000589
mpi_np,global_getting,1048576,0.000187980
mpi_np,empty,2097152,0.000086759
mpi_np,arange,2097152,0.010510072
mpi_np,local_slicing,2097152,0.000000945
mpi_np,local_setting,2097152,0.000000587
