"Type","Op","Size","Time"
np,reshape,524288,0.000014201
np,creation,1048576,0.054527094
np,add,1048576,0.006011720
np,sub,1048576,0.004697393
np,mul,1048576,0.004460160
np,div,1048576,0.004710925
np,max,1048576,0.001542275
np,mean,1048576,0.001830973
np,sum,1048576,0.001780975
np,std,1048576,0.010483664
np,slice,1048576,0.000017623
np,iterate,1048576,0.085603338
np,reshape,1048576,0.000020122
np,creation,2097152,0.107652309
np,add,2097152,0.011415914
np,sub,2097152,0.009361996
np,mul,2097152,0.008694499
np,div,2097152,0.009256949
np,max,2097152,0.002762710
np,mean,2097152,0.003608079
np,sum,2097152,0.003640070
np,std,2097152,0.020609987
np,slice,2097152,0.000017210
np,iterate,2097152,0.170741520
np,reshape,2097152,0.000021923
np,creation,4194304,0.218514289
np,add,4194304,0.017535311
np,sub,4194304,0.017677382
np,mul,4194304,0.017441634
np,div,4194304,0.024286772
np,max,4194304,0.005370981
np,mean,4194304,0.007433086
np,sum,4194304,0.007359721
np,std,4194304,0.040203280
np,slice,4194304,0.000017394
np,iterate,4194304,0.341782142
np,reshape,4194304,0.000023297
np,creation,8388608,0.434755985
np,add,8388608,0.034964480
np,sub,8388608,0.034656196
np,mul,8388608,0.034271569
np,div,8388608,0.047803540
np,max,8388608,0.010397458
np,mean,8388608,0.014697881
np,sum,8388608,0.014572164
np,std,8388608,0.078914595
np,slice,8388608,0.000028664
np,iterate,8388608,0.684533290
np,reshape,8388608,0.000037853
np,creation,16777216,0.869297592
np,add,16777216,0.068283307
np,sub,16777216,0.069226687
np,mul,16777216,0.068213230
np,div,16777216,0.095324204
np,max,16777216,0.020595084
np,mean,16777216,0.029104536
np,sum,16777216,0.029033965
np,std,16777216,0.157166125
np,slice,16777216,0.000017871
np,iterate,16777216,1.366734727
np,reshape,16777216,0.000025147
np,creation,33554432,1.783829868
np,add,33554432,0.136359420
np,sub,33554432,0.138332518
np,mul,33554432,0.136498172
np,div,33554432,0.190403835
np,max,33554432,0.041007628
np,mean,33554432,0.057980337
np,sum,33554432,0.057966693
np,std,33554432,0.314391392
np,slice,33554432,0.000018264
np,iterate,33554432,2.737882946
np,creation,67108864,3.479139336
np,add,67108864,0.270890343
np,sub,67108864,0.275461998
np,mul,67108864,0.271179360
np,div,67108864,0.379807668
np,max,67108864,0.081665471
np,mean,67108864,0.115729791
np,sum,67108864,0.115675175
np,std,67108864,0.628212369
np,slice,67108864,0.000020002
np,iterate,67108864,5.467334845
np,creation,134217728,6.938752892
np,add,134217728,0.582272998
np,sub,134217728,0.585595736
np,mul,134217728,0.572265837
np,div,134217728,0.776921940
np,max,134217728,0.163224353
np,mean,134217728,0.231869528
np,sum,134217728,0.231216226
np,std,134217728,1.315050930
np,slice,134217728,0.000034149
np,iterate,134217728,10.950550058
mpi_np,creation,1,0.000291452
mpi_np,add,1,0.000008758
mpi_np,sub,1,0.000008660
mpi_np,mul,1,0.000008661
mpi_np,div,1,0.000009330
mpi_np,max,1,0.000035692
mpi_np,mean,1,0.000071942
mpi_np,sum,1,0.000038118
mpi_np,std,1,0.000141324
mpi_np,global_slice,1,0.000177849
mpi_np,local_iterate,1,0.000002539
mpi_np,reshape,1,0.000342584
mpi_np,creation,2,0.000291333
mpi_np,add,2,0.000008947
mpi_np,sub,2,0.000008919
mpi_np,mul,2,0.000008876
mpi_np,div,2,0.000009544
mpi_np,max,2,0.000038597
mpi_np,mean,2,0.000072226
mpi_np,sum,2,0.000038380
mpi_np,std,2,0.000146785
mpi_np,global_slice,2,0.000176823
mpi_np,local_iterate,2,0.000002586
mpi_np,reshape,2,0.000348422
mpi_np,creation,4,0.000291249
mpi_np,add,4,0.000008888
mpi_np,sub,4,0.000008862
mpi_np,mul,4,0.000008843
mpi_np,div,4,0.000009594
mpi_np,max,4,0.000038374
mpi_np,mean,4,0.000071884
mpi_np,sum,4,0.000038247
mpi_np,std,4,0.000146711
mpi_np,global_slice,4,0.000176826
mpi_np,local_iterate,4,0.000002747
mpi_np,reshape,4,0.000362463
mpi_np,creation,8,0.000291430
mpi_np,add,8,0.000008899
mpi_np,sub,8,0.000008837
mpi_np,mul,8,0.000008741
mpi_np,div,8,0.000009401
mpi_np,max,8,0.000038840
mpi_np,mean,8,0.000072264
mpi_np,sum,8,0.000038513
mpi_np,std,8,0.000147096
mpi_np,global_slice,8,0.000178783
mpi_np,local_iterate,8,0.000003086
mpi_np,reshape,8,0.000382387
mpi_np,creation,16,0.000291811
mpi_np,add,16,0.000008992
mpi_np,sub,16,0.000009001
mpi_np,mul,16,0.000008915
mpi_np,div,16,0.000009591
mpi_np,max,16,0.000038941
mpi_np,mean,16,0.000072638
mpi_np,sum,16,0.000038261
mpi_np,std,16,0.000147231
mpi_np,global_slice,16,0.000176710
mpi_np,local_iterate,16,0.000003791
mpi_np,reshape,16,0.000428161
mpi_np,creation,32,0.000295992
mpi_np,add,32,0.000009113
mpi_np,sub,32,0.000008939
mpi_np,mul,32,0.000008900
mpi_np,div,32,0.000009711
mpi_np,max,32,0.000041125
mpi_np,mean,32,0.000073115
mpi_np,sum,32,0.000038570
mpi_np,std,32,0.000149146
mpi_np,global_slice,32,0.000179847
mpi_np,local_iterate,32,0.000005148
mpi_np,reshape,32,0.000525071
mpi_np,creation,64,0.000362119
mpi_np,add,64,0.000021387
mpi_np,sub,64,0.000016616
mpi_np,mul,64,0.000014908
mpi_np,div,64,0.000016208
mpi_np,max,64,0.000230495
mpi_np,mean,64,0.000120450
mpi_np,sum,64,0.000048269
mpi_np,std,64,0.000169929
mpi_np,global_slice,64,0.000225045
mpi_np,local_iterate,64,0.000018339
mpi_np,reshape,64,0.000768424
mpi_np,creation,128,0.000379269
mpi_np,add,128,0.000022391
mpi_np,sub,128,0.000017400
mpi_np,mul,128,0.000015344
mpi_np,div,128,0.000017154
mpi_np,max,128,0.000236521
mpi_np,mean,128,0.000121981
mpi_np,sum,128,0.000048162
mpi_np,std,128,0.000171997
mpi_np,global_slice,128,0.000225577
mpi_np,local_iterate,128,0.000023663
mpi_np,reshape,128,0.001138232
mpi_np,creation,256,0.000383301
mpi_np,add,256,0.000022279
mpi_np,sub,256,0.000017423
mpi_np,mul,256,0.000015820
mpi_np,div,256,0.000017041
mpi_np,max,256,0.000224259
mpi_np,mean,256,0.000120113
mpi_np,sum,256,0.000048433
mpi_np,std,256,0.000172329
mpi_np,global_slice,256,0.000226052
mpi_np,local_iterate,256,0.000035838
mpi_np,reshape,256,0.001892040
mpi_np,creation,512,0.000417037
mpi_np,add,512,0.000023281
mpi_np,sub,512,0.000018061
mpi_np,mul,512,0.000016530
mpi_np,div,512,0.000018706
mpi_np,max,512,0.000230926
mpi_np,mean,512,0.000121331
mpi_np,sum,512,0.000048084
mpi_np,std,512,0.000174253
mpi_np,global_slice,512,0.000228014
mpi_np,local_iterate,512,0.000055166
mpi_np,reshape,512,0.003314041
mpi_np,creation,1024,0.000484114
mpi_np,add,1024,0.000024342
mpi_np,sub,1024,0.000019329
mpi_np,mul,1024,0.000016888
mpi_np,div,1024,0.000020986
mpi_np,max,1024,0.000232341
mpi_np,mean,1024,0.000120395
mpi_np,sum,1024,0.000049617
mpi_np,std,1024,0.000178959
mpi_np,global_slice,1024,0.000228874
mpi_np,local_iterate,1024,0.000096869
mpi_np,reshape,1024,0.006204002
mpi_np,creation,2048,0.000591100
mpi_np,add,2048,0.000025389
mpi_np,sub,2048,0.000020030
mpi_np,mul,2048,0.000018198
mpi_np,div,2048,0.000025604
mpi_np,max,2048,0.000230927
mpi_np,mean,2048,0.000123867
mpi_np,sum,2048,0.000050558
mpi_np,std,2048,0.000183120
mpi_np,global_slice,2048,0.000233104
mpi_np,local_iterate,2048,0.000195001
mpi_np,reshape,2048,0.012003213
mpi_np,creation,4096,0.000848648
mpi_np,add,4096,0.000029070
mpi_np,sub,4096,0.000024358
mpi_np,mul,4096,0.000022080
mpi_np,div,4096,0.000034172
